Nr.;Kategorie;Slowakisch;Deutsch;Beispielsatz SK;Übersetzung DE
701;08 Zeit, Zahlen & Wetter;jún;Juni;Dnes si zapamätám slovo „jún“.;Heute merke ich mir das Wort „Juni“.
702;08 Zeit, Zahlen & Wetter;júl;Juli;Dnes si zapamätám slovo „júl“.;Heute merke ich mir das Wort „Juli“.
703;08 Zeit, Zahlen & Wetter;august;August;Dnes si zapamätám slovo „august“.;Heute merke ich mir das Wort „August“.
704;08 Zeit, Zahlen & Wetter;september;September;Dnes si zapamätám slovo „september“.;Heute merke ich mir das Wort „September“.
705;08 Zeit, Zahlen & Wetter;október;Oktober;Dnes si zapamätám slovo „október“.;Heute merke ich mir das Wort „Oktober“.
706;08 Zeit, Zahlen & Wetter;november;November;Dnes si zapamätám slovo „november“.;Heute merke ich mir das Wort „November“.
707;08 Zeit, Zahlen & Wetter;december;Dezember;Dnes si zapamätám slovo „december“.;Heute merke ich mir das Wort „Dezember“.
708;08 Zeit, Zahlen & Wetter;jar;Frühling;Dnes si zapamätám slovo „jar“.;Heute merke ich mir das Wort „Frühling“.
709;08 Zeit, Zahlen & Wetter;leto;Sommer;Dnes si zapamätám slovo „leto“.;Heute merke ich mir das Wort „Sommer“.
710;08 Zeit, Zahlen & Wetter;jeseň;Herbst;Dnes si zapamätám slovo „jeseň“.;Heute merke ich mir das Wort „Herbst“.
711;08 Zeit, Zahlen & Wetter;zima;Winter;Dnes si zapamätám slovo „zima“.;Heute merke ich mir das Wort „Winter“.
712;08 Zeit, Zahlen & Wetter;prvý;erste;Dnes si zapamätám slovo „prvý“.;Heute merke ich mir das Wort „erste“.
713;08 Zeit, Zahlen & Wetter;druhý;zweite;Dnes si zapamätám slovo „druhý“.;Heute merke ich mir das Wort „zweite“.
714;08 Zeit, Zahlen & Wetter;tretí;dritte;Dnes si zapamätám slovo „tretí“.;Heute merke ich mir das Wort „dritte“.
715;08 Zeit, Zahlen & Wetter;posledný;letzte;Dnes si zapamätám slovo „posledný“.;Heute merke ich mir das Wort „letzte“.
716;08 Zeit, Zahlen & Wetter;jeden;eins;Dnes si zapamätám slovo „jeden“.;Heute merke ich mir das Wort „eins“.
717;08 Zeit, Zahlen & Wetter;dva;zwei;Dnes si zapamätám slovo „dva“.;Heute merke ich mir das Wort „zwei“.
718;08 Zeit, Zahlen & Wetter;tri;drei;Dnes si zapamätám slovo „tri“.;Heute merke ich mir das Wort „drei“.
719;08 Zeit, Zahlen & Wetter;štyri;vier;Dnes si zapamätám slovo „štyri“.;Heute merke ich mir das Wort „vier“.
720;08 Zeit, Zahlen & Wetter;päť;fünf;Dnes si zapamätám slovo „päť“.;Heute merke ich mir das Wort „fünf“.
721;08 Zeit, Zahlen & Wetter;šesť;sechs;Dnes si zapamätám slovo „šesť“.;Heute merke ich mir das Wort „sechs“.
722;08 Zeit, Zahlen & Wetter;sedem;sieben;Dnes si zapamätám slovo „sedem“.;Heute merke ich mir das Wort „sieben“.
723;08 Zeit, Zahlen & Wetter;osem;acht;Dnes si zapamätám slovo „osem“.;Heute merke ich mir das Wort „acht“.
724;08 Zeit, Zahlen & Wetter;deväť;neun;Dnes si zapamätám slovo „deväť“.;Heute merke ich mir das Wort „neun“.
725;08 Zeit, Zahlen & Wetter;desať;zehn;Dnes si zapamätám slovo „desať“.;Heute merke ich mir das Wort „zehn“.
726;08 Zeit, Zahlen & Wetter;jedenásť;elf;Dnes si zapamätám slovo „jedenásť“.;Heute merke ich mir das Wort „elf“.
727;08 Zeit, Zahlen & Wetter;dvanásť;zwölf;Dnes si zapamätám slovo „dvanásť“.;Heute merke ich mir das Wort „zwölf“.
728;08 Zeit, Zahlen & Wetter;dvadsať;zwanzig;Dnes si zapamätám slovo „dvadsať“.;Heute merke ich mir das Wort „zwanzig“.
729;08 Zeit, Zahlen & Wetter;tridsať;dreißig;Dnes si zapamätám slovo „tridsať“.;Heute merke ich mir das Wort „dreißig“.
730;08 Zeit, Zahlen & Wetter;štyridsať;vierzig;Dnes si zapamätám slovo „štyridsať“.;Heute merke ich mir das Wort „vierzig“.
731;08 Zeit, Zahlen & Wetter;päťdesiat;fünfzig;Dnes si zapamätám slovo „päťdesiat“.;Heute merke ich mir das Wort „fünfzig“.
732;08 Zeit, Zahlen & Wetter;sto;hundert;Dnes si zapamätám slovo „sto“.;Heute merke ich mir das Wort „hundert“.
733;08 Zeit, Zahlen & Wetter;tisíc;tausend;Dnes si zapamätám slovo „tisíc“.;Heute merke ich mir das Wort „tausend“.
734;08 Zeit, Zahlen & Wetter;počasie;Wetter;Dnes si zapamätám slovo „počasie“.;Heute merke ich mir das Wort „Wetter“.
735;08 Zeit, Zahlen & Wetter;slnko;Sonne;Dnes si zapamätám slovo „slnko“.;Heute merke ich mir das Wort „Sonne“.
736;08 Zeit, Zahlen & Wetter;dážď;Regen;Dnes si zapamätám slovo „dážď“.;Heute merke ich mir das Wort „Regen“.
737;08 Zeit, Zahlen & Wetter;sneh;Schnee;Dnes si zapamätám slovo „sneh“.;Heute merke ich mir das Wort „Schnee“.
738;08 Zeit, Zahlen & Wetter;vietor;Wind;Dnes si zapamätám slovo „vietor“.;Heute merke ich mir das Wort „Wind“.
739;08 Zeit, Zahlen & Wetter;oblak;Wolke;Dnes si zapamätám slovo „oblak“.;Heute merke ich mir das Wort „Wolke“.
740;08 Zeit, Zahlen & Wetter;hmla;Nebel;Dnes si zapamätám slovo „hmla“.;Heute merke ich mir das Wort „Nebel“.
741;08 Zeit, Zahlen & Wetter;búrka;Gewitter/Sturm;Dnes si zapamätám slovo „búrka“.;Heute merke ich mir das Wort „Gewitter/Sturm“.
742;08 Zeit, Zahlen & Wetter;teplota;Temperatur;Dnes si zapamätám slovo „teplota“.;Heute merke ich mir das Wort „Temperatur“.
743;08 Zeit, Zahlen & Wetter;stupeň;Grad;Dnes si zapamätám slovo „stupeň“.;Heute merke ich mir das Wort „Grad“.
744;08 Zeit, Zahlen & Wetter;teplo;warm/Wärme;Dnes si zapamätám slovo „teplo“.;Heute merke ich mir das Wort „warm/Wärme“.
745;08 Zeit, Zahlen & Wetter;chlad;Kälte;Dnes si zapamätám slovo „chlad“.;Heute merke ich mir das Wort „Kälte“.
746;08 Zeit, Zahlen & Wetter;jasno;klar/sonnig;Dnes si zapamätám slovo „jasno“.;Heute merke ich mir das Wort „klar/sonnig“.
747;08 Zeit, Zahlen & Wetter;zamračené;bewölkt;Dnes si zapamätám slovo „zamračené“.;Heute merke ich mir das Wort „bewölkt“.
748;08 Zeit, Zahlen & Wetter;pršať;regnen;Dnes si zapamätám slovo „pršať“.;Heute merke ich mir das Wort „regnen“.
749;08 Zeit, Zahlen & Wetter;snežiť;schneien;Dnes si zapamätám slovo „snežiť“.;Heute merke ich mir das Wort „schneien“.
750;08 Zeit, Zahlen & Wetter;fúkať;wehen;Dnes si zapamätám slovo „fúkať“.;Heute merke ich mir das Wort „wehen“.
751;08 Zeit, Zahlen & Wetter;svietiť;scheinen/leuchten;Dnes si zapamätám slovo „svietiť“.;Heute merke ich mir das Wort „scheinen/leuchten“.
752;08 Zeit, Zahlen & Wetter;skoro;früh;Dnes si zapamätám slovo „skoro“.;Heute merke ich mir das Wort „früh“.
753;08 Zeit, Zahlen & Wetter;neskoro;spät;Dnes si zapamätám slovo „neskoro“.;Heute merke ich mir das Wort „spät“.
754;08 Zeit, Zahlen & Wetter;presne;genau/pünktlich;Dnes si zapamätám slovo „presne“.;Heute merke ich mir das Wort „genau/pünktlich“.
755;08 Zeit, Zahlen & Wetter;hneď;sofort;Dnes si zapamätám slovo „hneď“.;Heute merke ich mir das Wort „sofort“.
756;08 Zeit, Zahlen & Wetter;čoskoro;bald;Dnes si zapamätám slovo „čoskoro“.;Heute merke ich mir das Wort „bald“.
757;08 Zeit, Zahlen & Wetter;dlho;lange;Dnes si zapamätám slovo „dlho“.;Heute merke ich mir das Wort „lange“.
758;08 Zeit, Zahlen & Wetter;krátko;kurz;Dnes si zapamätám slovo „krátko“.;Heute merke ich mir das Wort „kurz“.
759;08 Zeit, Zahlen & Wetter;minulosť;Vergangenheit;Dnes si zapamätám slovo „minulosť“.;Heute merke ich mir das Wort „Vergangenheit“.
760;08 Zeit, Zahlen & Wetter;budúcnosť;Zukunft;Dnes si zapamätám slovo „budúcnosť“.;Heute merke ich mir das Wort „Zukunft“.
761;08 Zeit, Zahlen & Wetter;začiatok;Anfang;Dnes si zapamätám slovo „začiatok“.;Heute merke ich mir das Wort „Anfang“.
762;08 Zeit, Zahlen & Wetter;koniec;Ende;Dnes si zapamätám slovo „koniec“.;Heute merke ich mir das Wort „Ende“.
763;08 Zeit, Zahlen & Wetter;termín;Termin/Frist;Dnes si zapamätám slovo „termín“.;Heute merke ich mir das Wort „Termin/Frist“.
764;08 Zeit, Zahlen & Wetter;dátum;Datum;Dnes si zapamätám slovo „dátum“.;Heute merke ich mir das Wort „Datum“.
765;08 Zeit, Zahlen & Wetter;kalendár;Kalender;Dnes si zapamätám slovo „kalendár“.;Heute merke ich mir das Wort „Kalender“.
766;08 Zeit, Zahlen & Wetter;víkend;Wochenende;Dnes si zapamätám slovo „víkend“.;Heute merke ich mir das Wort „Wochenende“.
767;08 Zeit, Zahlen & Wetter;pracovný deň;Werktag;Dnes si zapamätám slovo „pracovný deň“.;Heute merke ich mir das Wort „Werktag“.
768;08 Zeit, Zahlen & Wetter;voľno;Freizeit/frei;Dnes si zapamätám slovo „voľno“.;Heute merke ich mir das Wort „Freizeit/frei“.
769;08 Zeit, Zahlen & Wetter;prestávka;Pause;Dnes si zapamätám slovo „prestávka“.;Heute merke ich mir das Wort „Pause“.
770;08 Zeit, Zahlen & Wetter;chvíľa;Moment;Dnes si zapamätám slovo „chvíľa“.;Heute merke ich mir das Wort „Moment“.
771;08 Zeit, Zahlen & Wetter;raz;einmal;Dnes si zapamätám slovo „raz“.;Heute merke ich mir das Wort „einmal“.
772;08 Zeit, Zahlen & Wetter;dvakrát;zweimal;Dnes si zapamätám slovo „dvakrát“.;Heute merke ich mir das Wort „zweimal“.
773;08 Zeit, Zahlen & Wetter;pravidelne;regelmäßig;Dnes si zapamätám slovo „pravidelne“.;Heute merke ich mir das Wort „regelmäßig“.
774;08 Zeit, Zahlen & Wetter;denne;täglich;Dnes si zapamätám slovo „denne“.;Heute merke ich mir das Wort „täglich“.
775;08 Zeit, Zahlen & Wetter;týždenne;wöchentlich;Dnes si zapamätám slovo „týždenne“.;Heute merke ich mir das Wort „wöchentlich“.
776;08 Zeit, Zahlen & Wetter;mesačne;monatlich;Dnes si zapamätám slovo „mesačne“.;Heute merke ich mir das Wort „monatlich“.
777;08 Zeit, Zahlen & Wetter;ročne;jährlich;Dnes si zapamätám slovo „ročne“.;Heute merke ich mir das Wort „jährlich“.
778;08 Zeit, Zahlen & Wetter;predtým;vorher;Dnes si zapamätám slovo „predtým“.;Heute merke ich mir das Wort „vorher“.
779;08 Zeit, Zahlen & Wetter;neskôr;später;Dnes si zapamätám slovo „neskôr“.;Heute merke ich mir das Wort „später“.
780;08 Zeit, Zahlen & Wetter;zatiaľ;bisher/vorerst;Dnes si zapamätám slovo „zatiaľ“.;Heute merke ich mir das Wort „bisher/vorerst“.
781;08 Zeit, Zahlen & Wetter;práve;gerade;Dnes si zapamätám slovo „práve“.;Heute merke ich mir das Wort „gerade“.
782;08 Zeit, Zahlen & Wetter;naraz;gleichzeitig/plötzlich;Dnes si zapamätám slovo „naraz“.;Heute merke ich mir das Wort „gleichzeitig/plötzlich“.
783;09 Eigenschaften & Gefühle;veľký;groß;Dnes si zapamätám prídavné meno „veľký“.;Heute merke ich mir das Adjektiv „groß“.
784;09 Eigenschaften & Gefühle;malý;klein;Dnes si zapamätám prídavné meno „malý“.;Heute merke ich mir das Adjektiv „klein“.
785;09 Eigenschaften & Gefühle;dlhý;lang;Dnes si zapamätám prídavné meno „dlhý“.;Heute merke ich mir das Adjektiv „lang“.
786;09 Eigenschaften & Gefühle;krátky;kurz;Dnes si zapamätám prídavné meno „krátky“.;Heute merke ich mir das Adjektiv „kurz“.
787;09 Eigenschaften & Gefühle;vysoký;hoch/groß;Dnes si zapamätám prídavné meno „vysoký“.;Heute merke ich mir das Adjektiv „hoch/groß“.
788;09 Eigenschaften & Gefühle;nízky;niedrig/klein;Dnes si zapamätám prídavné meno „nízky“.;Heute merke ich mir das Adjektiv „niedrig/klein“.
789;09 Eigenschaften & Gefühle;široký;breit;Dnes si zapamätám prídavné meno „široký“.;Heute merke ich mir das Adjektiv „breit“.
790;09 Eigenschaften & Gefühle;úzky;schmal;Dnes si zapamätám prídavné meno „úzky“.;Heute merke ich mir das Adjektiv „schmal“.
791;09 Eigenschaften & Gefühle;ťažký;schwer;Dnes si zapamätám prídavné meno „ťažký“.;Heute merke ich mir das Adjektiv „schwer“.
792;09 Eigenschaften & Gefühle;ľahký;leicht;Dnes si zapamätám prídavné meno „ľahký“.;Heute merke ich mir das Adjektiv „leicht“.
793;09 Eigenschaften & Gefühle;rýchly;schnell;Dnes si zapamätám prídavné meno „rýchly“.;Heute merke ich mir das Adjektiv „schnell“.
794;09 Eigenschaften & Gefühle;pomalý;langsam;Dnes si zapamätám prídavné meno „pomalý“.;Heute merke ich mir das Adjektiv „langsam“.
795;09 Eigenschaften & Gefühle;nový;neu;Dnes si zapamätám prídavné meno „nový“.;Heute merke ich mir das Adjektiv „neu“.
796;09 Eigenschaften & Gefühle;starý;alt;Dnes si zapamätám prídavné meno „starý“.;Heute merke ich mir das Adjektiv „alt“.
797;09 Eigenschaften & Gefühle;mladý;jung;Dnes si zapamätám prídavné meno „mladý“.;Heute merke ich mir das Adjektiv „jung“.
798;09 Eigenschaften & Gefühle;pekný;schön;Dnes si zapamätám prídavné meno „pekný“.;Heute merke ich mir das Adjektiv „schön“.
799;09 Eigenschaften & Gefühle;škaredý;hässlich;Dnes si zapamätám prídavné meno „škaredý“.;Heute merke ich mir das Adjektiv „hässlich“.
800;09 Eigenschaften & Gefühle;čistý;sauber;Dnes si zapamätám prídavné meno „čistý“.;Heute merke ich mir das Adjektiv „sauber“.
801;09 Eigenschaften & Gefühle;špinavý;schmutzig;Dnes si zapamätám prídavné meno „špinavý“.;Heute merke ich mir das Adjektiv „schmutzig“.
802;09 Eigenschaften & Gefühle;silný;stark;Dnes si zapamätám prídavné meno „silný“.;Heute merke ich mir das Adjektiv „stark“.
803;09 Eigenschaften & Gefühle;slabý;schwach;Dnes si zapamätám prídavné meno „slabý“.;Heute merke ich mir das Adjektiv „schwach“.
804;09 Eigenschaften & Gefühle;mäkký;weich;Dnes si zapamätám prídavné meno „mäkký“.;Heute merke ich mir das Adjektiv „weich“.
805;09 Eigenschaften & Gefühle;tvrdý;hart;Dnes si zapamätám prídavné meno „tvrdý“.;Heute merke ich mir das Adjektiv „hart“.
806;09 Eigenschaften & Gefühle;jednoduchý;einfach;Dnes si zapamätám prídavné meno „jednoduchý“.;Heute merke ich mir das Adjektiv „einfach“.
807;09 Eigenschaften & Gefühle;dôležitý;wichtig;Dnes si zapamätám prídavné meno „dôležitý“.;Heute merke ich mir das Adjektiv „wichtig“.
808;09 Eigenschaften & Gefühle;zaujímavý;interessant;Dnes si zapamätám prídavné meno „zaujímavý“.;Heute merke ich mir das Adjektiv „interessant“.
809;09 Eigenschaften & Gefühle;nudný;langweilig;Dnes si zapamätám prídavné meno „nudný“.;Heute merke ich mir das Adjektiv „langweilig“.
810;09 Eigenschaften & Gefühle;zábavný;unterhaltsam;Dnes si zapamätám prídavné meno „zábavný“.;Heute merke ich mir das Adjektiv „unterhaltsam“.
811;09 Eigenschaften & Gefühle;zvláštny;seltsam;Dnes si zapamätám prídavné meno „zvláštny“.;Heute merke ich mir das Adjektiv „seltsam“.
812;09 Eigenschaften & Gefühle;normálny;normal;Dnes si zapamätám prídavné meno „normálny“.;Heute merke ich mir das Adjektiv „normal“.
813;09 Eigenschaften & Gefühle;iný;anders;Dnes si zapamätám prídavné meno „iný“.;Heute merke ich mir das Adjektiv „anders“.
814;09 Eigenschaften & Gefühle;rovnaký;gleich;Dnes si zapamätám prídavné meno „rovnaký“.;Heute merke ich mir das Adjektiv „gleich“.
815;09 Eigenschaften & Gefühle;správny;richtig;Dnes si zapamätám prídavné meno „správny“.;Heute merke ich mir das Adjektiv „richtig“.
816;09 Eigenschaften & Gefühle;nesprávny;falsch;Dnes si zapamätám prídavné meno „nesprávny“.;Heute merke ich mir das Adjektiv „falsch“.
817;09 Eigenschaften & Gefühle;pravdivý;wahr;Dnes si zapamätám prídavné meno „pravdivý“.;Heute merke ich mir das Adjektiv „wahr“.
818;09 Eigenschaften & Gefühle;možný;möglich;Dnes si zapamätám prídavné meno „možný“.;Heute merke ich mir das Adjektiv „möglich“.
819;09 Eigenschaften & Gefühle;nemožný;unmöglich;Dnes si zapamätám prídavné meno „nemožný“.;Heute merke ich mir das Adjektiv „unmöglich“.
820;09 Eigenschaften & Gefühle;hotový;fertig;Dnes si zapamätám prídavné meno „hotový“.;Heute merke ich mir das Adjektiv „fertig“.
821;09 Eigenschaften & Gefühle;pripravený;bereit;Dnes si zapamätám prídavné meno „pripravený“.;Heute merke ich mir das Adjektiv „bereit“.
822;09 Eigenschaften & Gefühle;voľný;frei;Dnes si zapamätám prídavné meno „voľný“.;Heute merke ich mir das Adjektiv „frei“.
823;09 Eigenschaften & Gefühle;zaneprázdnený;beschäftigt;Dnes si zapamätám prídavné meno „zaneprázdnený“.;Heute merke ich mir das Adjektiv „beschäftigt“.
824;09 Eigenschaften & Gefühle;šťastný;glücklich;Dnes si zapamätám prídavné meno „šťastný“.;Heute merke ich mir das Adjektiv „glücklich“.
825;09 Eigenschaften & Gefühle;smutný;traurig;Dnes si zapamätám prídavné meno „smutný“.;Heute merke ich mir das Adjektiv „traurig“.
826;09 Eigenschaften & Gefühle;nahnevaný;wütend;Dnes si zapamätám prídavné meno „nahnevaný“.;Heute merke ich mir das Adjektiv „wütend“.
827;09 Eigenschaften & Gefühle;pokojný;ruhig;Dnes si zapamätám prídavné meno „pokojný“.;Heute merke ich mir das Adjektiv „ruhig“.
828;09 Eigenschaften & Gefühle;nervózny;nervös;Dnes si zapamätám prídavné meno „nervózny“.;Heute merke ich mir das Adjektiv „nervös“.
829;09 Eigenschaften & Gefühle;unavený;müde;Dnes si zapamätám prídavné meno „unavený“.;Heute merke ich mir das Adjektiv „müde“.
830;09 Eigenschaften & Gefühle;chorý;krank;Dnes si zapamätám prídavné meno „chorý“.;Heute merke ich mir das Adjektiv „krank“.
831;09 Eigenschaften & Gefühle;zdravý;gesund;Dnes si zapamätám prídavné meno „zdravý“.;Heute merke ich mir das Adjektiv „gesund“.
832;09 Eigenschaften & Gefühle;spokojný;zufrieden;Dnes si zapamätám prídavné meno „spokojný“.;Heute merke ich mir das Adjektiv „zufrieden“.
833;09 Eigenschaften & Gefühle;nespokojný;unzufrieden;Dnes si zapamätám prídavné meno „nespokojný“.;Heute merke ich mir das Adjektiv „unzufrieden“.
834;09 Eigenschaften & Gefühle;prekvapený;überrascht;Dnes si zapamätám prídavné meno „prekvapený“.;Heute merke ich mir das Adjektiv „überrascht“.
835;09 Eigenschaften & Gefühle;zvedavý;neugierig;Dnes si zapamätám prídavné meno „zvedavý“.;Heute merke ich mir das Adjektiv „neugierig“.
836;09 Eigenschaften & Gefühle;hrdý;stolz;Dnes si zapamätám prídavné meno „hrdý“.;Heute merke ich mir das Adjektiv „stolz“.
837;09 Eigenschaften & Gefühle;milý;nett;Dnes si zapamätám prídavné meno „milý“.;Heute merke ich mir das Adjektiv „nett“.
838;09 Eigenschaften & Gefühle;priateľský;freundlich;Dnes si zapamätám prídavné meno „priateľský“.;Heute merke ich mir das Adjektiv „freundlich“.
839;09 Eigenschaften & Gefühle;nepríjemný;unangenehm;Dnes si zapamätám prídavné meno „nepríjemný“.;Heute merke ich mir das Adjektiv „unangenehm“.
840;09 Eigenschaften & Gefühle;slušný;höflich;Dnes si zapamätám prídavné meno „slušný“.;Heute merke ich mir das Adjektiv „höflich“.
841;09 Eigenschaften & Gefühle;vtipný;lustig;Dnes si zapamätám prídavné meno „vtipný“.;Heute merke ich mir das Adjektiv „lustig“.
842;09 Eigenschaften & Gefühle;vážny;ernst;Dnes si zapamätám prídavné meno „vážny“.;Heute merke ich mir das Adjektiv „ernst“.
843;09 Eigenschaften & Gefühle;tichý;leise;Dnes si zapamätám prídavné meno „tichý“.;Heute merke ich mir das Adjektiv „leise“.
844;09 Eigenschaften & Gefühle;hlasný;laut;Dnes si zapamätám prídavné meno „hlasný“.;Heute merke ich mir das Adjektiv „laut“.
845;09 Eigenschaften & Gefühle;múdry;klug;Dnes si zapamätám prídavné meno „múdry“.;Heute merke ich mir das Adjektiv „klug“.
846;09 Eigenschaften & Gefühle;hlúpy;dumm;Dnes si zapamätám prídavné meno „hlúpy“.;Heute merke ich mir das Adjektiv „dumm“.
847;09 Eigenschaften & Gefühle;šikovný;geschickt;Dnes si zapamätám prídavné meno „šikovný“.;Heute merke ich mir das Adjektiv „geschickt“.
848;09 Eigenschaften & Gefühle;opatrný;vorsichtig;Dnes si zapamätám prídavné meno „opatrný“.;Heute merke ich mir das Adjektiv „vorsichtig“.
849;09 Eigenschaften & Gefühle;bezpečný;sicher;Dnes si zapamätám prídavné meno „bezpečný“.;Heute merke ich mir das Adjektiv „sicher“.
850;09 Eigenschaften & Gefühle;nebezpečný;gefährlich;Dnes si zapamätám prídavné meno „nebezpečný“.;Heute merke ich mir das Adjektiv „gefährlich“.
851;09 Eigenschaften & Gefühle;lacný;billig;Dnes si zapamätám prídavné meno „lacný“.;Heute merke ich mir das Adjektiv „billig“.
852;09 Eigenschaften & Gefühle;drahý;teuer;Dnes si zapamätám prídavné meno „drahý“.;Heute merke ich mir das Adjektiv „teuer“.
853;09 Eigenschaften & Gefühle;bohatý;reich;Dnes si zapamätám prídavné meno „bohatý“.;Heute merke ich mir das Adjektiv „reich“.
854;09 Eigenschaften & Gefühle;chudobný;arm;Dnes si zapamätám prídavné meno „chudobný“.;Heute merke ich mir das Adjektiv „arm“.
855;09 Eigenschaften & Gefühle;otvorený;offen;Dnes si zapamätám prídavné meno „otvorený“.;Heute merke ich mir das Adjektiv „offen“.
856;09 Eigenschaften & Gefühle;zatvorený;geschlossen;Dnes si zapamätám prídavné meno „zatvorený“.;Heute merke ich mir das Adjektiv „geschlossen“.
857;09 Eigenschaften & Gefühle;svetlý;hell;Dnes si zapamätám prídavné meno „svetlý“.;Heute merke ich mir das Adjektiv „hell“.
858;09 Eigenschaften & Gefühle;tmavý;dunkel;Dnes si zapamätám prídavné meno „tmavý“.;Heute merke ich mir das Adjektiv „dunkel“.
859;09 Eigenschaften & Gefühle;farebný;bunt;Dnes si zapamätám prídavné meno „farebný“.;Heute merke ich mir das Adjektiv „bunt“.
860;09 Eigenschaften & Gefühle;biely;weiß;Dnes si zapamätám prídavné meno „biely“.;Heute merke ich mir das Adjektiv „weiß“.
861;09 Eigenschaften & Gefühle;čierny;schwarz;Dnes si zapamätám prídavné meno „čierny“.;Heute merke ich mir das Adjektiv „schwarz“.
862;09 Eigenschaften & Gefühle;červený;rot;Dnes si zapamätám prídavné meno „červený“.;Heute merke ich mir das Adjektiv „rot“.
863;09 Eigenschaften & Gefühle;modrý;blau;Dnes si zapamätám prídavné meno „modrý“.;Heute merke ich mir das Adjektiv „blau“.
864;09 Eigenschaften & Gefühle;zelený;grün;Dnes si zapamätám prídavné meno „zelený“.;Heute merke ich mir das Adjektiv „grün“.
865;09 Eigenschaften & Gefühle;žltý;gelb;Dnes si zapamätám prídavné meno „žltý“.;Heute merke ich mir das Adjektiv „gelb“.
866;09 Eigenschaften & Gefühle;oranžový;orange;Dnes si zapamätám prídavné meno „oranžový“.;Heute merke ich mir das Adjektiv „orange“.
867;09 Eigenschaften & Gefühle;ružový;rosa;Dnes si zapamätám prídavné meno „ružový“.;Heute merke ich mir das Adjektiv „rosa“.
868;09 Eigenschaften & Gefühle;fialový;lila;Dnes si zapamätám prídavné meno „fialový“.;Heute merke ich mir das Adjektiv „lila“.
869;09 Eigenschaften & Gefühle;sivý;grau;Dnes si zapamätám prídavné meno „sivý“.;Heute merke ich mir das Adjektiv „grau“.
870;09 Eigenschaften & Gefühle;hnedý;braun;Dnes si zapamätám prídavné meno „hnedý“.;Heute merke ich mir das Adjektiv „braun“.
871;09 Eigenschaften & Gefühle;moderný;modern;Dnes si zapamätám prídavné meno „moderný“.;Heute merke ich mir das Adjektiv „modern“.
872;09 Eigenschaften & Gefühle;tradičný;traditionell;Dnes si zapamätám prídavné meno „tradičný“.;Heute merke ich mir das Adjektiv „traditionell“.
873;09 Eigenschaften & Gefühle;praktický;praktisch;Dnes si zapamätám prídavné meno „praktický“.;Heute merke ich mir das Adjektiv „praktisch“.
874;09 Eigenschaften & Gefühle;kvalitný;hochwertig;Dnes si zapamätám prídavné meno „kvalitný“.;Heute merke ich mir das Adjektiv „hochwertig“.
875;09 Eigenschaften & Gefühle;obľúbený;beliebt/Lieblings-;Dnes si zapamätám prídavné meno „obľúbený“.;Heute merke ich mir das Adjektiv „beliebt/Lieblings-“.
876;10 Arbeit, Studium & Kreativität;práca;Arbeit;Dnes si zapamätám slovo „práca“.;Heute merke ich mir das Wort „Arbeit“.
877;10 Arbeit, Studium & Kreativität;škola;Schule;Dnes si zapamätám slovo „škola“.;Heute merke ich mir das Wort „Schule“.
878;10 Arbeit, Studium & Kreativität;univerzita;Universität;Dnes si zapamätám slovo „univerzita“.;Heute merke ich mir das Wort „Universität“.
879;10 Arbeit, Studium & Kreativität;štúdium;Studium;Dnes si zapamätám slovo „štúdium“.;Heute merke ich mir das Wort „Studium“.
880;10 Arbeit, Studium & Kreativität;kurz;Kurs;Dnes si zapamätám slovo „kurz“.;Heute merke ich mir das Wort „Kurs“.
881;10 Arbeit, Studium & Kreativität;predmet;Fach;Dnes si zapamätám slovo „predmet“.;Heute merke ich mir das Wort „Fach“.
882;10 Arbeit, Studium & Kreativität;skúška;Prüfung;Dnes si zapamätám slovo „skúška“.;Heute merke ich mir das Wort „Prüfung“.
883;10 Arbeit, Studium & Kreativität;úloha;Aufgabe;Dnes si zapamätám slovo „úloha“.;Heute merke ich mir das Wort „Aufgabe“.
884;10 Arbeit, Studium & Kreativität;projekt;Projekt;Dnes si zapamätám slovo „projekt“.;Heute merke ich mir das Wort „Projekt“.
885;10 Arbeit, Studium & Kreativität;prezentácia;Präsentation;Dnes si zapamätám slovo „prezentácia“.;Heute merke ich mir das Wort „Präsentation“.
886;10 Arbeit, Studium & Kreativität;výsledok;Ergebnis;Dnes si zapamätám slovo „výsledok“.;Heute merke ich mir das Wort „Ergebnis“.
887;10 Arbeit, Studium & Kreativität;cieľ;Ziel;Dnes si zapamätám slovo „cieľ“.;Heute merke ich mir das Wort „Ziel“.
888;10 Arbeit, Studium & Kreativität;plán;Plan;Dnes si zapamätám slovo „plán“.;Heute merke ich mir das Wort „Plan“.
889;10 Arbeit, Studium & Kreativität;proces;Prozess;Dnes si zapamätám slovo „proces“.;Heute merke ich mir das Wort „Prozess“.
890;10 Arbeit, Studium & Kreativität;metóda;Methode;Dnes si zapamätám slovo „metóda“.;Heute merke ich mir das Wort „Methode“.
891;10 Arbeit, Studium & Kreativität;systém;System;Dnes si zapamätám slovo „systém“.;Heute merke ich mir das Wort „System“.
892;10 Arbeit, Studium & Kreativität;informácia;Information;Dnes si zapamätám slovo „informácia“.;Heute merke ich mir das Wort „Information“.
893;10 Arbeit, Studium & Kreativität;text;Text;Dnes si zapamätám slovo „text“.;Heute merke ich mir das Wort „Text“.
894;10 Arbeit, Studium & Kreativität;slovo;Wort;Dnes si zapamätám slovo „slovo“.;Heute merke ich mir das Wort „Wort“.
